chunk_id,doc_id,title,category,chunk_index,total_chunks,tokens_count,has_code,has_tables,is_code_block,chunk_type,is_complete_code,url,source_hash,chunk_preview
fb8bd8f24baa4767_code_0000,doc_0002,Создание бота для суммаризации чатов и каналов в Telegram на LangChain и Foundation Models (код),AI Factory,1,6,46,True,False,True,code,True,https://cloud.ru/docs/tutorials-evolution/list/topics/foundation-models__langchain-tg-bot?source-platform=Evolution,fb8bd8f24baa4767,"КОНТЕКСТ ИСПОЛЬЗОВАНИЯ:
Создание бота для суммаризации чатов и каналов в Telegram на LangChain и Foundation Models
С помощью этого руководства вы позн..."
fb8bd8f24baa4767_code_0001,doc_0002,Создание бота для суммаризации чатов и каналов в Telegram на LangChain и Foundation Models (код),AI Factory,2,6,136,True,False,True,code,True,https://cloud.ru/docs/tutorials-evolution/list/topics/foundation-models__langchain-tg-bot?source-platform=Evolution,fb8bd8f24baa4767,"КОНТЕКСТ ИСПОЛЬЗОВАНИЯ:
Создание бота для суммаризации чатов и каналов в Telegram на LangChain и Foundation Models
С помощью этого руководства вы позн..."
fb8bd8f24baa4767_code_0002,doc_0002,Создание бота для суммаризации чатов и каналов в Telegram на LangChain и Foundation Models (код),AI Factory,3,6,248,True,False,True,code,True,https://cloud.ru/docs/tutorials-evolution/list/topics/foundation-models__langchain-tg-bot?source-platform=Evolution,fb8bd8f24baa4767,"КОНТЕКСТ ИСПОЛЬЗОВАНИЯ:
Создание бота для суммаризации чатов и каналов в Telegram на LangChain и Foundation Models
С помощью этого руководства вы позн..."
fb8bd8f24baa4767_code_0003,doc_0002,Создание бота для суммаризации чатов и каналов в Telegram на LangChain и Foundation Models (код),AI Factory,4,6,292,True,False,True,code,True,https://cloud.ru/docs/tutorials-evolution/list/topics/foundation-models__langchain-tg-bot?source-platform=Evolution,fb8bd8f24baa4767,"КОНТЕКСТ ИСПОЛЬЗОВАНИЯ:
Создание бота для суммаризации чатов и каналов в Telegram на LangChain и Foundation Models
С помощью этого руководства вы позн..."
fb8bd8f24baa4767_code_0004,doc_0002,Создание бота для суммаризации чатов и каналов в Telegram на LangChain и Foundation Models (код),AI Factory,5,6,15,True,False,True,code,True,https://cloud.ru/docs/tutorials-evolution/list/topics/foundation-models__langchain-tg-bot?source-platform=Evolution,fb8bd8f24baa4767,"КОНТЕКСТ ИСПОЛЬЗОВАНИЯ:
Создание бота для суммаризации чатов и каналов в Telegram на LangChain и Foundation Models
С помощью этого руководства вы позн..."
0bba8af3f949a236_0000,doc_0003,Создание приложения с Aider и Foundation Models,AI Factory,0,4,481,True,False,False,text,False,https://cloud.ru/docs/tutorials-evolution/list/topics/foundation-models__assistent-aider?source-platform=Evolution,0bba8af3f949a236,"Создание приложения с Aider и Foundation Models
С помощью этого руководства вы интегрируете сервис Foundation Models с приложением Aider, чтобы превра..."
0bba8af3f949a236_code_0000,doc_0003,Создание приложения с Aider и Foundation Models (код),AI Factory,1,4,14,True,False,True,code,True,https://cloud.ru/docs/tutorials-evolution/list/topics/foundation-models__assistent-aider?source-platform=Evolution,0bba8af3f949a236,"КОНТЕКСТ ИСПОЛЬЗОВАНИЯ:
Создание приложения с Aider и Foundation Models
С помощью этого руководства вы интегрируете сервис Foundation Models с приложе..."
0bba8af3f949a236_code_0001,doc_0003,Создание приложения с Aider и Foundation Models (код),AI Factory,2,4,23,True,False,True,code,True,https://cloud.ru/docs/tutorials-evolution/list/topics/foundation-models__assistent-aider?source-platform=Evolution,0bba8af3f949a236,"КОНТЕКСТ ИСПОЛЬЗОВАНИЯ:
Создание приложения с Aider и Foundation Models
С помощью этого руководства вы интегрируете сервис Foundation Models с приложе..."
0bba8af3f949a236_code_0002,doc_0003,Создание приложения с Aider и Foundation Models (код),AI Factory,3,4,14,True,False,True,code,True,https://cloud.ru/docs/tutorials-evolution/list/topics/foundation-models__assistent-aider?source-platform=Evolution,0bba8af3f949a236,"КОНТЕКСТ ИСПОЛЬЗОВАНИЯ:
Создание приложения с Aider и Foundation Models
С помощью этого руководства вы интегрируете сервис Foundation Models с приложе..."
67e66844497ba80f_0000,doc_0004,Анализ обучения с TensorBoard PyTorch Profiler на основе Notebooks,Notebooks,0,7,1342,True,False,False,text,False,https://cloud.ru/docs/tutorials-evolution/list/topics/notebooks__training-tensorboard?source-platform=Evolution,67e66844497ba80f,"Анализ обучения с TensorBoard PyTorch Profiler на основе Notebooks
С помощью этого руководства вы научитесь использовать TensorBoard с PyTorch Profile..."
67e66844497ba80f_code_0000,doc_0004,Анализ обучения с TensorBoard PyTorch Profiler на основе Notebooks (код),Notebooks,1,7,90,True,False,True,code,True,https://cloud.ru/docs/tutorials-evolution/list/topics/notebooks__training-tensorboard?source-platform=Evolution,67e66844497ba80f,"КОНТЕКСТ ИСПОЛЬЗОВАНИЯ:
Анализ обучения с TensorBoard PyTorch Profiler на основе Notebooks
С помощью этого руководства вы научитесь использовать Tenso..."
67e66844497ba80f_code_0001,doc_0004,Анализ обучения с TensorBoard PyTorch Profiler на основе Notebooks (код),Notebooks,2,7,148,True,False,True,code,True,https://cloud.ru/docs/tutorials-evolution/list/topics/notebooks__training-tensorboard?source-platform=Evolution,67e66844497ba80f,"КОНТЕКСТ ИСПОЛЬЗОВАНИЯ:
Анализ обучения с TensorBoard PyTorch Profiler на основе Notebooks
С помощью этого руководства вы научитесь использовать Tenso..."
67e66844497ba80f_code_0002,doc_0004,Анализ обучения с TensorBoard PyTorch Profiler на основе Notebooks (код),Notebooks,3,7,530,True,False,True,code,True,https://cloud.ru/docs/tutorials-evolution/list/topics/notebooks__training-tensorboard?source-platform=Evolution,67e66844497ba80f,"КОНТЕКСТ ИСПОЛЬЗОВАНИЯ:
Анализ обучения с TensorBoard PyTorch Profiler на основе Notebooks
С помощью этого руководства вы научитесь использовать Tenso..."
67e66844497ba80f_code_0003,doc_0004,Анализ обучения с TensorBoard PyTorch Profiler на основе Notebooks (код),Notebooks,4,7,216,True,False,True,code,True,https://cloud.ru/docs/tutorials-evolution/list/topics/notebooks__training-tensorboard?source-platform=Evolution,67e66844497ba80f,"КОНТЕКСТ ИСПОЛЬЗОВАНИЯ:
Анализ обучения с TensorBoard PyTorch Profiler на основе Notebooks
С помощью этого руководства вы научитесь использовать Tenso..."
67e66844497ba80f_code_0004,doc_0004,Анализ обучения с TensorBoard PyTorch Profiler на основе Notebooks (код),Notebooks,5,7,889,True,False,True,code,True,https://cloud.ru/docs/tutorials-evolution/list/topics/notebooks__training-tensorboard?source-platform=Evolution,67e66844497ba80f,"КОНТЕКСТ ИСПОЛЬЗОВАНИЯ:
Анализ обучения с TensorBoard PyTorch Profiler на основе Notebooks
С помощью этого руководства вы научитесь использовать Tenso..."
67e66844497ba80f_code_0005,doc_0004,Анализ обучения с TensorBoard PyTorch Profiler на основе Notebooks (код),Notebooks,6,7,149,True,False,True,code,True,https://cloud.ru/docs/tutorials-evolution/list/topics/notebooks__training-tensorboard?source-platform=Evolution,67e66844497ba80f,"КОНТЕКСТ ИСПОЛЬЗОВАНИЯ:
Анализ обучения с TensorBoard PyTorch Profiler на основе Notebooks
С помощью этого руководства вы научитесь использовать Tenso..."
d43995533a0c714e_0000,doc_0005,Генерация видео с моделью Kandinsky 5.0 Video Lite в ComfyUI на основе Notebooks,Notebooks,0,3,631,True,False,False,text,False,https://cloud.ru/docs/tutorials-evolution/list/topics/notebooks__comfyui-kandinsky?source-platform=Evolution,d43995533a0c714e,"Генерация видео с моделью Kandinsky 5.0 Video Lite в ComfyUI на основе Notebooks
С помощью этого руководства вы настроите среду для генерации видео в ..."
d43995533a0c714e_code_0000,doc_0005,Генерация видео с моделью Kandinsky 5.0 Video Lite в ComfyUI на основе Notebooks (код),Notebooks,1,3,143,True,False,True,code,True,https://cloud.ru/docs/tutorials-evolution/list/topics/notebooks__comfyui-kandinsky?source-platform=Evolution,d43995533a0c714e,"КОНТЕКСТ ИСПОЛЬЗОВАНИЯ:
Генерация видео с моделью Kandinsky 5.0 Video Lite в ComfyUI на основе Notebooks
С помощью этого руководства вы настроите сред..."
d43995533a0c714e_code_0001,doc_0005,Генерация видео с моделью Kandinsky 5.0 Video Lite в ComfyUI на основе Notebooks (код),Notebooks,2,3,8,True,False,True,code,True,https://cloud.ru/docs/tutorials-evolution/list/topics/notebooks__comfyui-kandinsky?source-platform=Evolution,d43995533a0c714e,"КОНТЕКСТ ИСПОЛЬЗОВАНИЯ:
Генерация видео с моделью Kandinsky 5.0 Video Lite в ComfyUI на основе Notebooks
С помощью этого руководства вы настроите сред..."
22e0bf6b8abf1934_0000,doc_0006,Генерация изображений с ComfyUI на основе Notebooks,Notebooks,0,4,428,True,False,False,text,False,https://cloud.ru/docs/tutorials-evolution/list/topics/notebooks__images-comfyui?source-platform=Evolution,22e0bf6b8abf1934,"Генерация изображений с ComfyUI на основе Notebooks
С помощью этого руководства вы научитесь настраивать среду для генерации изображений с помощью Com..."
22e0bf6b8abf1934_code_0000,doc_0006,Генерация изображений с ComfyUI на основе Notebooks (код),Notebooks,1,4,11,True,False,True,code,True,https://cloud.ru/docs/tutorials-evolution/list/topics/notebooks__images-comfyui?source-platform=Evolution,22e0bf6b8abf1934,"КОНТЕКСТ ИСПОЛЬЗОВАНИЯ:
Генерация изображений с ComfyUI на основе Notebooks
С помощью этого руководства вы научитесь настраивать среду для генерации и..."
22e0bf6b8abf1934_code_0001,doc_0006,Генерация изображений с ComfyUI на основе Notebooks (код),Notebooks,2,4,87,True,False,True,code,True,https://cloud.ru/docs/tutorials-evolution/list/topics/notebooks__images-comfyui?source-platform=Evolution,22e0bf6b8abf1934,"КОНТЕКСТ ИСПОЛЬЗОВАНИЯ:
Генерация изображений с ComfyUI на основе Notebooks
С помощью этого руководства вы научитесь настраивать среду для генерации и..."
22e0bf6b8abf1934_code_0002,doc_0006,Генерация изображений с ComfyUI на основе Notebooks (код),Notebooks,3,4,11,True,False,True,code,True,https://cloud.ru/docs/tutorials-evolution/list/topics/notebooks__images-comfyui?source-platform=Evolution,22e0bf6b8abf1934,"КОНТЕКСТ ИСПОЛЬЗОВАНИЯ:
Генерация изображений с ComfyUI на основе Notebooks
С помощью этого руководства вы научитесь настраивать среду для генерации и..."
303dd0bd0c6215d0_0000,doc_0007,Инференс изображений на предобученой модели на основе Notebooks,Notebooks,0,6,497,True,False,False,text,False,https://cloud.ru/docs/tutorials-evolution/list/topics/notebooks__cv-pretrain?source-platform=Evolution,303dd0bd0c6215d0,"Инференс изображений на предобученой модели на основе Notebooks
С помощью этого руководства вы проведете классификацию изображений с использованием пр..."
303dd0bd0c6215d0_code_0000,doc_0007,Инференс изображений на предобученой модели на основе Notebooks (код),Notebooks,1,6,49,True,False,True,code,True,https://cloud.ru/docs/tutorials-evolution/list/topics/notebooks__cv-pretrain?source-platform=Evolution,303dd0bd0c6215d0,"КОНТЕКСТ ИСПОЛЬЗОВАНИЯ:
Инференс изображений на предобученой модели на основе Notebooks
С помощью этого руководства вы проведете классификацию изображ..."
303dd0bd0c6215d0_code_0001,doc_0007,Инференс изображений на предобученой модели на основе Notebooks (код),Notebooks,2,6,25,True,False,True,code,True,https://cloud.ru/docs/tutorials-evolution/list/topics/notebooks__cv-pretrain?source-platform=Evolution,303dd0bd0c6215d0,"КОНТЕКСТ ИСПОЛЬЗОВАНИЯ:
Инференс изображений на предобученой модели на основе Notebooks
С помощью этого руководства вы проведете классификацию изображ..."
303dd0bd0c6215d0_code_0002,doc_0007,Инференс изображений на предобученой модели на основе Notebooks (код),Notebooks,3,6,15,True,False,True,code,True,https://cloud.ru/docs/tutorials-evolution/list/topics/notebooks__cv-pretrain?source-platform=Evolution,303dd0bd0c6215d0,"КОНТЕКСТ ИСПОЛЬЗОВАНИЯ:
Инференс изображений на предобученой модели на основе Notebooks
С помощью этого руководства вы проведете классификацию изображ..."
303dd0bd0c6215d0_code_0003,doc_0007,Инференс изображений на предобученой модели на основе Notebooks (код),Notebooks,4,6,68,True,False,True,code,True,https://cloud.ru/docs/tutorials-evolution/list/topics/notebooks__cv-pretrain?source-platform=Evolution,303dd0bd0c6215d0,"КОНТЕКСТ ИСПОЛЬЗОВАНИЯ:
Инференс изображений на предобученой модели на основе Notebooks
С помощью этого руководства вы проведете классификацию изображ..."
303dd0bd0c6215d0_code_0004,doc_0007,Инференс изображений на предобученой модели на основе Notebooks (код),Notebooks,5,6,18,True,False,True,code,True,https://cloud.ru/docs/tutorials-evolution/list/topics/notebooks__cv-pretrain?source-platform=Evolution,303dd0bd0c6215d0,"КОНТЕКСТ ИСПОЛЬЗОВАНИЯ:
Инференс изображений на предобученой модели на основе Notebooks
С помощью этого руководства вы проведете классификацию изображ..."
305b47f0953207ce_0000,doc_0008,"Инференс на собственных изображениях с использованием модели CNN, обученной на MNIST, на основе Notebooks",Notebooks,0,9,677,True,False,False,text,False,https://cloud.ru/docs/tutorials-evolution/list/topics/notebooks__cv-cnn?source-platform=Evolution,305b47f0953207ce,"Инференс на собственных изображениях с использованием модели CNN, обученной на MNIST, на основе Notebooks
С помощью этого руководства вы выполните инф..."
305b47f0953207ce_code_0000,doc_0008,"Инференс на собственных изображениях с использованием модели CNN, обученной на MNIST, на основе Notebooks (код)",Notebooks,1,9,49,True,False,True,code,True,https://cloud.ru/docs/tutorials-evolution/list/topics/notebooks__cv-cnn?source-platform=Evolution,305b47f0953207ce,"КОНТЕКСТ ИСПОЛЬЗОВАНИЯ:
Инференс на собственных изображениях с использованием модели CNN, обученной на MNIST, на основе Notebooks
С помощью этого руко..."
305b47f0953207ce_code_0001,doc_0008,"Инференс на собственных изображениях с использованием модели CNN, обученной на MNIST, на основе Notebooks (код)",Notebooks,2,9,27,True,False,True,code,True,https://cloud.ru/docs/tutorials-evolution/list/topics/notebooks__cv-cnn?source-platform=Evolution,305b47f0953207ce,"КОНТЕКСТ ИСПОЛЬЗОВАНИЯ:
Инференс на собственных изображениях с использованием модели CNN, обученной на MNIST, на основе Notebooks
С помощью этого руко..."
305b47f0953207ce_code_0002,doc_0008,"Инференс на собственных изображениях с использованием модели CNN, обученной на MNIST, на основе Notebooks (код)",Notebooks,3,9,116,True,False,True,code,True,https://cloud.ru/docs/tutorials-evolution/list/topics/notebooks__cv-cnn?source-platform=Evolution,305b47f0953207ce,"КОНТЕКСТ ИСПОЛЬЗОВАНИЯ:
Инференс на собственных изображениях с использованием модели CNN, обученной на MNIST, на основе Notebooks
С помощью этого руко..."
305b47f0953207ce_code_0003,doc_0008,"Инференс на собственных изображениях с использованием модели CNN, обученной на MNIST, на основе Notebooks (код)",Notebooks,4,9,51,True,False,True,code,True,https://cloud.ru/docs/tutorials-evolution/list/topics/notebooks__cv-cnn?source-platform=Evolution,305b47f0953207ce,"КОНТЕКСТ ИСПОЛЬЗОВАНИЯ:
Инференс на собственных изображениях с использованием модели CNN, обученной на MNIST, на основе Notebooks
С помощью этого руко..."
305b47f0953207ce_code_0004,doc_0008,"Инференс на собственных изображениях с использованием модели CNN, обученной на MNIST, на основе Notebooks (код)",Notebooks,5,9,196,True,False,True,code,True,https://cloud.ru/docs/tutorials-evolution/list/topics/notebooks__cv-cnn?source-platform=Evolution,305b47f0953207ce,"КОНТЕКСТ ИСПОЛЬЗОВАНИЯ:
Инференс на собственных изображениях с использованием модели CNN, обученной на MNIST, на основе Notebooks
С помощью этого руко..."
305b47f0953207ce_code_0005,doc_0008,"Инференс на собственных изображениях с использованием модели CNN, обученной на MNIST, на основе Notebooks (код)",Notebooks,6,9,20,True,False,True,code,True,https://cloud.ru/docs/tutorials-evolution/list/topics/notebooks__cv-cnn?source-platform=Evolution,305b47f0953207ce,"КОНТЕКСТ ИСПОЛЬЗОВАНИЯ:
Инференс на собственных изображениях с использованием модели CNN, обученной на MNIST, на основе Notebooks
С помощью этого руко..."
305b47f0953207ce_code_0006,doc_0008,"Инференс на собственных изображениях с использованием модели CNN, обученной на MNIST, на основе Notebooks (код)",Notebooks,7,9,34,True,False,True,code,True,https://cloud.ru/docs/tutorials-evolution/list/topics/notebooks__cv-cnn?source-platform=Evolution,305b47f0953207ce,"КОНТЕКСТ ИСПОЛЬЗОВАНИЯ:
Инференс на собственных изображениях с использованием модели CNN, обученной на MNIST, на основе Notebooks
С помощью этого руко..."
